Length=16
KeyCode=!?"#$%&'()*+,-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\]^_`abcdefghijklmnopqrstuvwxyz{|}~
Prompt=
ConstructPhrase=
[Data]
a 󱤀
akesi 󱤁
ala 󱤂
alasa 󱤃
ale 󱤄
anpa 󱤅
ante 󱤆
anu 󱤇
awen 󱤈
e 󱤉
en 󱤊
esun 󱤋
ijo 󱤌
ike 󱤍
ilo 󱤎
insa 󱤏
jaki 󱤐
jan 󱤑
jelo 󱤒
jo 󱤓
kala 󱤔
kalama 󱤕
kama 󱤖
kasi 󱤗
ken 󱤘
kepeken 󱤙
kili 󱤚
kiwen 󱤛
ko 󱤜
kon 󱤝
kule 󱤞
kulupu 󱤟
kute 󱤠
la 󱤡
lape 󱤢
laso 󱤣
lawa 󱤤
len 󱤥
lete 󱤦
li 󱤧
lili 󱤨
linja 󱤩
lipu 󱤪
loje 󱤫
lon 󱤬
luka 󱤭
lukin 󱤮
lupa 󱤯
ma 󱤰
mama 󱤱
mani 󱤲
meli 󱤳
mi 󱤴
mije 󱤵
moku 󱤶
moli 󱤷
monsi 󱤸
mu 󱤹
mun 󱤺
musi 󱤻
mute 󱤼
nanpa 󱤽
nasa 󱤾
nasin 󱤿
nena 󱥀
ni 󱥁
nimi 󱥂
noka 󱥃
o 󱥄
olin 󱥅
ona 󱥆
open 󱥇
pakala 󱥈
pali 󱥉
palisa 󱥊
pan 󱥋
pana 󱥌
pi 󱥍
pilin 󱥎
pimeja 󱥏
pini 󱥐
pipi 󱥑
poka 󱥒
poki 󱥓
pona 󱥔
pu 󱥕
sama 󱥖
seli 󱥗
selo 󱥘
seme 󱥙
sewi 󱥚
sijelo 󱥛
sike 󱥜
sin 󱥝
sina 󱥞
sinpin 󱥟
sitelen 󱥠
sona 󱥡
soweli 󱥢
suli 󱥣
suno 󱥤
supa 󱥥
suwi 󱥦
tan 󱥧
taso 󱥨
tawa 󱥩
telo 󱥪
tenpo 󱥫
toki 󱥬
tomo 󱥭
tu 󱥮
unpa 󱥯
uta 󱥰
utala 󱥱
walo 󱥲
wan 󱥳
waso 󱥴
wawa 󱥵
weka 󱥶
wile 󱥷
namako 󱥸
kin 󱥹
oko 󱥺
kipisi 󱥻
leko 󱥼
monsuta 󱥽
tonsi 󱥾
jasima 󱥿
kijetesantakalu 󱦀
soko 󱦁
meso 󱦂
epiku 󱦃
kokosila 󱦄
lanpan 󱦅
n 󱦆
misikeke 󱦇
ku 󱦈
pake 󱦠
apeja 󱦡
majuna 󱦢
powe 󱦣
linluwi 󱦤
kiki 󱦥
su 󱦦
isipin 󱦧
jami 󱦨
jonke 󱦩
kamalawala 󱦪
kapesi 󱦫
konwe 󱦬
kulijo 󱦭
melome 󱦮
mijomi 󱦯
misa 󱦰
mulapisu 󱦱
nimisin 󱦲
nja 󱦳
ojuta 󱦴
oke 󱦵
omekapo 󱦶
owe 󱦷
pakola 󱦸
penpo 󱦹
pika 󱦺
po 󱦻
puwa 󱦼
san 󱦽
soto 󱦾
teje 󱦿
sutopatikuna 󱧀
taki 󱧁
unu 󱧂
usawi 󱧃
wa 󱧄
wasoweli 󱧅
wekama 󱧆
wuwoiti 󱧇
yupekosi 󱧈
peto 󱧋
"  ゙
*  ゚
& ‍
+ 󱦖
- 󱦕
[ 󱦐
= 󱦒
] 󱦑
( 󱦗
) 󱦘
_ 󱦙
{ 󱦚
} 󱦛
. 󱦜
: 󱦝
ss 　
zz 　
< 「
> 」
~~ ︁
~ ︀
1 ︀
2 ︁
3 ︂
4 ︃
5 ︄
6 ︅
7 ︆
8 ︇
